
-82.4598 0.3 1 
-82.008 0.29 1 

-82.008 0.29 1 
-81.5324 0.28 1 

-81.5324 0.28 1 
-81.031 0.27 1 

-81.031 0.27 1 
-80.5015 0.26 1 

-80.5015 0.26 1 
-80.5 0.259972 1 

-79.9406 0.25 1 
-80.5 0.259972 1 

4 0.25063 1 
3.79621 0.25 1 

7.25 0.251813 1 
4 0.25063 1 

8.01224 0.25 1 
7.25 0.251813 1 

-79.9406 0.25 1 
-79.3465 0.24 1 

0.75 0.240271 1 
0.701211 0.24 1 

3.79621 0.25 1 
0.75 0.240271 1 

8.01224 0.25 1 
10.5 0.244258 1 

11.4094 0.24 1 
10.5 0.244258 1 

-79.3465 0.24 1 
-78.716 0.23 1 

0.701211 0.24 1 
-1.0656 0.23 1 

11.4094 0.24 1 
13.6052 0.23 1 

-78.716 0.23 1 
-78.0459 0.22 1 

-2.5 0.221615 1 
-2.71847 0.22 1 

-1.0656 0.23 1 
-2.5 0.221615 1 

13.6052 0.23 1 
13.75 0.229354 1 

15.2144 0.22 1 
13.75 0.229354 1 

-78.0459 0.22 1 
-77.3322 0.21 1 

-2.71847 0.22 1 
-4.04981 0.21 1 

15.2144 0.22 1 
16.8223 0.21 1 

-77.3322 0.21 1 
-77.25 0.208889 1 

-76.5684 0.2 1 
-77.25 0.208889 1 

-4.04981 0.21 1 
-5.34519 0.2 1 

16.8223 0.21 1 
17 0.208912 1 

18.1766 0.2 1 
17 0.208912 1 

-76.5684 0.2 1 
-75.751 0.19 1 

-5.75 0.196819 1 
-6.56216 0.19 1 

-5.34519 0.2 1 
-5.75 0.196819 1 

18.1766 0.2 1 
19.5253 0.19 1 

-75.751 0.19 1 
-74.8745 0.18 1 

-6.56216 0.19 1 
-7.72825 0.18 1 

19.5253 0.19 1 
20.25 0.18472 1 

20.8179 0.18 1 
20.25 0.18472 1 

-74.8745 0.18 1 
-74 0.170694 1 

-73.932 0.17 1 
-74 0.170694 1 

-7.72825 0.18 1 
-8.86559 0.17 1 

20.8179 0.18 1 
22.0389 0.17 1 

-73.932 0.17 1 
-72.9111 0.16 1 

-9 0.168802 1 
-10.0363 0.16 1 

-8.86559 0.17 1 
-9 0.168802 1 

22.0389 0.17 1 
23.2849 0.16 1 

-72.9111 0.16 1 
-71.807 0.15 1 

-10.0363 0.16 1 
-11.1854 0.15 1 

23.2849 0.16 1 
23.5 0.158294 1 

24.4625 0.15 1 
23.5 0.158294 1 

-71.807 0.15 1 
-70.75 0.141134 1 

-70.608 0.14 1 
-70.75 0.141134 1 

-12.25 0.140502 1 
-12.3145 0.14 1 

-11.1854 0.15 1 
-12.25 0.140502 1 

24.4625 0.15 1 
25.6431 0.14 1 

-70.608 0.14 1 
-69.2931 0.13 1 

-12.3145 0.14 1 
-13.5801 0.13 1 

25.6431 0.14 1 
26.75 0.130793 1 

26.8406 0.13 1 
26.75 0.130793 1 

-69.2931 0.13 1 
-67.855 0.12 1 

-13.5801 0.13 1 
-14.8098 0.12 1 

26.8406 0.13 1 
27.9942 0.12 1 

-67.855 0.12 1 
-67.5 0.117668 1 

-66.2601 0.11 1 
-67.5 0.117668 1 

-15.5 0.114259 1 
-16.1291 0.11 1 

